,loss,loss,accuracy,accuracy,precision,precision,recall,recall,f1,f1
,train,valid,train,valid,train,valid,train,valid,train,valid
epoch-1,0.1110856014527248,0.1252354055970687,0.9296875,0.9805453431372549,0.9934895833333334,0.992601102941177,0.9296875,0.9805453431372549,0.9316443452380951,0.9797683483115466
epoch-2,0.009804380571175088,0.00045175242110230904,0.99375,0.9998468137254902,0.9962239583333334,0.9999617034313726,0.99375,0.9998468137254902,0.9926636904761905,0.9998796393557424
epoch-3,0.0017215674089994081,8.959985712202816e-05,0.9984375,1.0,0.9989583333333334,1.0,0.9984375,1.0,0.9978125,1.0
epoch-4,0.0020451088608659704,0.006319796770910242,1.0,0.9988511029411765,1.0,0.9994446997549019,1.0,0.9988511029411765,1.0,0.9987477187844834
epoch-5,0.0026336074198715265,5.145304521654162e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
epoch-6,0.00018270267377680656,2.0807804982961144e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
epoch-7,0.0017301016622808495,0.0002712173677654413,0.9984375,0.9999234068627451,1.0,0.9999617034313726,0.9984375,0.9999234068627451,0.9989583333333332,0.9998978758169934
epoch-8,9.837062212337458e-05,0.0001256223190950141,1.0,0.9999234068627451,1.0,1.0,1.0,0.9999234068627451,1.0,0.9999234068627451
epoch-9,0.0001136114158155894,3.168362247322133e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
epoch-10,2.2112797953742898e-05,3.957613985196094e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
